modelo_id,macro_regiao,outcome,exposure,rr_p05,rr_p05_low,rr_p05_high,rr_p95,rr_p95_low,rr_p95_high,cen,p05_val,p50_val,p95_val,p_association,p_method,family,dispersion,alerta_convergencia,rr_explosivo,modelo_invalido,lb_pvalue,lb_statistic,acf_lag1,acf_lag7,acf_lag14,n_obs,df_exp,df_lag,lag_max,p_fdr_p05,p_p05,p_p95,classificacao,log_rr,se_log_rr,mu_hat,tau_hat,posterior_mean,posterior_sd,prob_rr_gt_1,prob_rr_gt_110,ci95_lower,ci95_upper,contraste
baia_da_ilha_grande_obitos_i60_i69_temp_med,Baia da Ilha Grande,obitos_i60_i69,temp_med,1.6626066970342728,0.9890799375939182,2.79478020325403,1.2750842071594208,0.7577826993594075,2.145522372999244,22.8375,18.35,22.8375,27.83791666666666,0.07417112758418841,Wald HAC,quasipoisson,0.9834113587906151,FALSE,FALSE,FALSE,0.06340748347999414,22.811468096504544,-0.008105551476119317,-0.020878262968695493,-0.029515411428943667,5479,4,3,21,0.14834225516837682,1,1,evidencia_insuficiente,0.5083866701557413,0.2649830582112176,0.20721117971211206,0.001,0.2072154689212747,9.999928791940742e-4,1,0,0.2052554828780543,0.2091754549644951,P05_vs_P50
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,1.3215069573180835,0.9874822722077595,1.7685184710563318,0.9248467262440079,0.6775921185715515,1.2623249940501449,23.375,19.81625,23.375,26.92125,0.35099601041414424,Wald HAC,quasipoisson,1.0520596103646376,FALSE,FALSE,FALSE,0.43713552476643636,14.169846673888543,-0.0012024589693178484,-0.013697380625591763,-0.012759004437030501,5479,4,3,21,0.4182987646506703,1,1,evidencia_insuficiente,0.27877271976123785,0.14865788485914005,0.20721117971211206,0.001,0.20721441776641822,9.999773754803625e-4,1,0,0.2052544621104767,0.20917437342235973,P05_vs_P50
centro_sul_obitos_i60_i69_temp_med,Centro-Sul,obitos_i60_i69,temp_med,1.3759578690352336,0.8366434702905251,2.2629233653165843,0.7815216580639391,0.5239555729332109,1.1657020815787082,19.4,10.2,19.4,26.453063725490196,0.012665040500190437,Wald HAC,quasipoisson,1.0089388748113415,FALSE,FALSE,FALSE,5.464740946726776e-4,37.85704159216134,-0.014785023929580995,0.0018432579670946711,-0.052061170904987075,5479,4,3,21,0.04342299600065292,1,1,sinal_sugestivo,0.3191501206087016,0.2538302965662333,0.20721117971211206,0.001,0.20721291706299233,9.999922397085073e-4,1,0,0.20525293227316366,0.209172901852821,P05_vs_P50
medio_paraiba_obitos_i60_i69_temp_med,Medio Paraiba,obitos_i60_i69,temp_med,1.3020889976017749,1.0415145542966189,1.6278560397272583,1.0909618059878554,0.8842785365076098,1.3459533540471056,21.913888888888888,16.794583333333332,21.913888888888888,26.329541666666664,0.0011299508220944136,Wald HAC,quasipoisson,0.9850499046601867,FALSE,FALSE,FALSE,0.003949360921940759,32.043527519286414,-0.033035279473455414,5.736474935523378e-4,0.016263805671797044,5479,4,3,21,0.005811175656485556,0.0011299508220944136,1,sinal_sugestivo,0.26396989598316606,0.11392547959248214,0.20721117971211206,0.001,0.2072155524895477,9.999614785010343e-4,1,0,0.20525562799168567,0.20917547698740974,P05_vs_P50
metropolitana_i_obitos_i60_i69_temp_med,Metropolitana I,obitos_i60_i69,temp_med,1.2098779653590421,1.124727179642113,1.301475342248879,1.0604215206541356,0.9874808949603936,1.1387499314723768,23.456304347826087,18.991666666666667,23.456304347826087,28.188666666666663,1.0049755800286912e-16,Wald HAC,quasipoisson,1.0275774870226886,FALSE,FALSE,FALSE,0.01593566835325333,27.627679948248073,-0.009698249732024185,-0.00472977183109654,0.007284773692906347,5479,4,3,21,7.235824176206576e-15,1.0049755800286912e-16,1,sinal_sugestivo,0.19051949944726285,0.037234183767980315,0.20721117971211206,0.001,0.20719914867026584,9.99639544660191e-4,1,0,0.20523985516273185,0.20915844217779983,P05_vs_P50
metropolitana_ii_obitos_i60_i69_temp_med,Metropolitana II,obitos_i60_i69,temp_med,1.0958807406969393,0.8817974155979549,1.361939348638365,1.0136196298723203,0.8301981365196472,1.2375657193952099,21.870833333333334,14.291666666666666,21.870833333333334,28.064791666666665,0.5107579865428858,Wald HAC,quasipoisson,1.0194543459191723,FALSE,FALSE,FALSE,0.07694976115726493,22.08176992833914,-0.004759250504398528,-0.008951760611250198,-0.034583932352664305,5479,4,3,21,0.5746027348607465,1,1,evidencia_insuficiente,0.09155836937251488,0.11089352360242082,0.20721117971211206,0.001,0.20720177580113017,9.999593433911217e-4,1,0,0.20524185548808357,0.20916169611417676,P05_vs_P50
noroeste_obitos_i60_i69_temp_med,Noroeste,obitos_i60_i69,temp_med,1.4185182078870844,0.997598976635212,2.017036858732641,1.2057495515809329,0.8473226754454911,1.7157949660361083,23.8,18.44875,23.8,28.6,0.18707866804443354,Wald HAC,quasipoisson,1.0197797939816295,FALSE,FALSE,FALSE,0.10042253428581371,21.047457042240083,-0.010466087094262595,-0.006897541936275748,-0.024778713614318246,5479,4,3,21,0.28658859785530244,1,1,evidencia_insuficiente,0.3496128111992519,0.17960036818513297,0.20721117971211206,0.001,0.20721559426837344,9.999844995087857e-4,1,0,0.20525562464933622,0.20917556388741065,P05_vs_P50
norte_obitos_i60_i69_temp_med,Norte,obitos_i60_i69,temp_med,1.4188458863895226,1.1145474695761635,1.8062251310749595,1.201667061302225,0.9222318153680412,1.5657708855364711,23.780555555555555,19.857916666666668,23.780555555555555,27.64569444444444,0.018798957767740942,Wald HAC,quasipoisson,0.9775776784609803,FALSE,FALSE,FALSE,0.1940759760617522,18.285715907255963,-0.025596504357777435,0.013313928751888861,-0.023188952706659306,5479,4,3,21,0.05884891127292817,0.018798957767740942,1,sinal_sugestivo,0.34984378508417274,0.12316087726359737,0.20721117971211206,0.001,0.20722058224016138,9.999670388022898e-4,1,0,0.20526064684410888,0.20918051763621387,P05_vs_P50
serrana_obitos_i60_i69_temp_med,Serrana,obitos_i60_i69,temp_med,1.1025301901375208,0.8692978165833205,1.3983387476369755,0.9244892855443518,0.7393310173973362,1.1560186424952572,17.716666666666665,12.032916666666667,17.716666666666665,22.313958333333336,0.23314320030023672,Wald HAC,quasipoisson,1.0263238626607267,FALSE,FALSE,FALSE,0.013653179068596089,28.134750762920397,0.00532801482096009,0.005084867841620485,-0.03588817840060954,5479,4,3,21,0.32477495084113234,1,1,evidencia_insuficiente,0.09760771130863719,0.12126388362457054,0.20721117971211206,0.001,0.20720372670014067,9.999659995309222e-4,1,0,0.20524379334106008,0.20916366005922127,P05_vs_P50
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,1.1773440141622025,0.6200879747188657,2.235390757758225,0.932042961227613,0.5013240319612143,1.7328195462234417,81.47916666666667,69.75,81.47916666666667,91.20083333333332,0.026567225094904893,Wald HAC,quasipoisson,0.9778008123488657,FALSE,FALSE,FALSE,0.05179874054232836,23.556294423043248,-0.009757295486054352,-0.021043633199421024,-0.0297194653598648,5479,4,3,21,0.07229705744991713,1,1,sinal_sugestivo,0.16326106608415392,0.3271198889721467,0.0866577511609733,0.001,0.08665846702346021,9.999953274596532e-4,1,1,0.08469847618163928,0.08861845786528114,P05_vs_P50
baixada_litoranea_obitos_i60_i69_ur_med,Baixada Litoranea,obitos_i60_i69,ur_med,1.3415106706886255,0.9401162711498232,1.9142854291526687,1.1709372278577033,0.8581026549844611,1.5978204747634899,80.3125,67.71369047619046,80.3125,89.41666666666667,0.16897980028333506,Wald HAC,quasipoisson,1.0487200008821178,FALSE,FALSE,FALSE,0.4351920576021606,14.196289809842279,-8.874733123130971e-4,-0.013825355693277601,-0.011663215167031647,5479,4,3,21,0.2703676804533361,1,1,evidencia_insuficiente,0.2937963451483102,0.18140207336894523,0.0866577511609733,0.001,0.08666404569134314,9.999848058778692e-4,1,1,0.08470407547182252,0.08862401591086377,P05_vs_P50
