modelo_id,macro_regiao,outcome,exposure,rr_p05,rr_p05_low,rr_p05_high,rr_p95,rr_p95_low,rr_p95_high,cen,p05_val,p50_val,p95_val,p_association,p_method,family,dispersion,alerta_convergencia,rr_explosivo,modelo_invalido,lb_pvalue,lb_statistic,acf_lag1,acf_lag7,acf_lag14,n_obs,df_exp,df_lag,lag_max,p_fdr_p05,p_p05,p_p95,classificacao,contraste,posterior_mean,posterior_sd,ci95_lower,ci95_upper,prob_rr_gt_1,prob_rr_gt_110,mu_hat,tau_hat,rr_posterior_p05,rr_posterior_p95,cr95_lower_p05,cr95_upper_p05
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,0.8540948905904385,0.5357099613912492,1.3617034117458342,1.1734632682205142,0.7631580215554188,1.8043655481157448,81.375,69.68966131907308,81.375,91.1875,0.04693620946214158,Wald HAC,quasipoisson,1.0450543624178366,FALSE,FALSE,FALSE,8.132182170261792e-5,43.14140627872575,-0.03655733480089997,-0.04005132728241898,-0.01347754609420482,5844,4,3,21,0.11653127866462738,1,1,evidencia_insuficiente,P05_vs_P50,-0.02948087830407407,0.06523194412949056,-0.15733548879787554,0.0983737321897274,0.32565636054438096,0.9721282786651084,-0.01906392772073906,0.06782977787690288,0.970949443663708,0.970949443663708,0.8544173632747135,1.103375074843548
baia_da_ilha_grande_internacoes_i60_i64_ur_med,Baia da Ilha Grande,internacoes_i60_i64,ur_med,0.8540948905904385,0.5357099613912492,1.3617034117458342,1.1734632682205142,0.7631580215554188,1.8043655481157448,81.375,69.68966131907308,81.375,91.1875,0.04693620946214158,Wald HAC,quasipoisson,1.0450543624178366,FALSE,FALSE,FALSE,8.132182170261792e-5,43.14140627872575,-0.03655733480089997,-0.04005132728241898,-0.01347754609420482,5844,4,3,21,0.11653127866462738,1,1,evidencia_insuficiente,P95_vs_P50,0.06224801600484282,9.999896238930277e-4,0.06028803634201248,0.06420799566767316,1,1,0.06224598824501537,0.001,1.0642262571439751,1.0642262571439751,1.0621424381118707,1.0663141644241358
baia_da_ilha_grande_obitos_i60_i64_temp_med,Baia da Ilha Grande,obitos_i60_i64,temp_med,1.980734036269787,1.0235993450488907,3.832854467340647,1.25552208110525,0.643245716341556,2.4505964922832715,22.8375,18.35,22.8375,27.83791666666666,0.11164367669132372,Wald HAC,quasipoisson,1.009532916166854,FALSE,FALSE,FALSE,0.0016596690909707,34.64307980255792,-0.02105888067869586,-0.03289701683480839,-0.02472267973381662,5479,4,3,21,0.19605718833598315,0.11164367669132372,1,evidencia_insuficiente,P05_vs_P50,0.231690180464386,9.999955923801446e-4,0.2297301891033209,0.2336501718254511,1,0,0.23168619791267564,0.001,1.2607290698196114,1.2607290698196114,1.25826047173985,1.2632025110750238
baia_da_ilha_grande_obitos_i60_i64_temp_med,Baia da Ilha Grande,obitos_i60_i64,temp_med,1.980734036269787,1.0235993450488907,3.832854467340647,1.25552208110525,0.643245716341556,2.4505964922832715,22.8375,18.35,22.8375,27.83791666666666,0.11164367669132372,Wald HAC,quasipoisson,1.009532916166854,FALSE,FALSE,FALSE,0.0016596690909707,34.64307980255792,-0.02105888067869586,-0.03289701683480839,-0.02472267973381662,5479,4,3,21,0.19605718833598315,0.11164367669132372,1,evidencia_insuficiente,P95_vs_P50,0.03183285587398615,9.999957054978056e-4,0.02987286429121044,0.03379284745676184,1,1,0.03183117483497588,0.001,1.0323449404910994,1.0323449404910994,1.0303235347134843,1.034370312092245
baia_da_ilha_grande_obitos_i60_i64_ur_med,Baia da Ilha Grande,obitos_i60_i64,ur_med,1.1830617053264636,0.5171707506193035,2.706330543507962,0.9042167818170924,0.4052759130427872,2.01741076192046,81.47916666666667,69.75,81.47916666666667,91.20083333333332,0.055980292690554,Wald HAC,quasipoisson,1.0040016717043776,FALSE,FALSE,FALSE,0.00172388121400657,34.53109905013906,-0.02311955503486332,-0.03302592775557121,-0.02203462079591236,5479,4,3,21,0.1300187443135448,1,1,evidencia_insuficiente,P05_vs_P50,0.01275825335265436,9.999971948442244e-4,0.01079825885075968,0.01471824785454904,1,1,0.0127573818011677,0.001,1.012839987090333,1.012839987090333,1.010856770466067,1.01482709462011
baia_da_ilha_grande_obitos_i60_i64_ur_med,Baia da Ilha Grande,obitos_i60_i64,ur_med,1.1830617053264636,0.5171707506193035,2.706330543507962,0.9042167818170924,0.4052759130427872,2.01741076192046,81.47916666666667,69.75,81.47916666666667,91.20083333333332,0.055980292690554,Wald HAC,quasipoisson,1.0040016717043776,FALSE,FALSE,FALSE,0.00172388121400657,34.53109905013906,-0.02311955503486332,-0.03302592775557121,-0.02203462079591236,5479,4,3,21,0.1300187443135448,1,1,evidencia_insuficiente,P95_vs_P50,0.0093885541503166,9.999970174412694e-4,0.00742855999613172,0.01134854830450149,1,1,0.0093892107617608,0.001,1.0094327648747772,1.0094327648747772,1.0074562201973405,1.011413187367233
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,0.9249922880187372,0.7037304498821745,1.215821672967815,0.9840851293399964,0.7362512853155608,1.3153437706706976,23.345833333333335,19.770833333333332,23.345833333333335,26.987499999999997,0.18140770241953985,Wald HAC,quasipoisson,1.0325241555807605,FALSE,FALSE,FALSE,0.01056649387589037,28.96450797316132,-0.01832926722505428,0.00334256788241377,-6.266243034234754e-4,5844,4,3,21,0.2839424907436276,1,1,evidencia_insuficiente,P05_vs_P50,-0.01473239910269918,0.11998665535794442,-0.24990624360427025,0.2204414453988719,0.4511392121457871,0.8204610307464073,0.16522101925113877,0.235298592474574,0.98537559171724,0.98537559171724,0.7788738040488555,1.2466269268586112
baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,internacoes_i60_i69,temp_med,0.9249922880187372,0.7037304498821745,1.215821672967815,0.9840851293399964,0.7362512853155608,1.3153437706706976,23.345833333333335,19.770833333333332,23.345833333333335,26.987499999999997,0.18140770241953985,Wald HAC,quasipoisson,1.0325241555807605,FALSE,FALSE,FALSE,0.01056649387589037,28.96450797316132,-0.01832926722505428,0.00334256788241377,-6.266243034234754e-4,5844,4,3,21,0.2839424907436276,1,1,evidencia_insuficiente,P95_vs_P50,-0.026838068487177,0.13405806113445165,-0.2895918683107022,0.2359157313363482,0.4206631200947961,0.8188942757236384,-0.0760578458943113,0.3160876086668327,0.9735188721450381,0.9735188721450381,0.7485690199806035,1.266067615845369
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,1.1488043883741583,0.879919360220751,1.4998550803753532,1.0473001914592692,0.7995904821756676,1.3717493085287251,80.08333333333333,67.4223484848485,80.08333333333333,89.23312499999999,0.14085468822208855,Wald HAC,quasipoisson,1.033088456226137,FALSE,FALSE,FALSE,0.01335307641752014,28.20723534885807,-0.01688835210545539,0.00187186366082389,-7.207532112383605e-4,5844,4,3,21,0.24146517980929463,1,1,evidencia_insuficiente,P05_vs_P50,0.00470775989909955,0.07178994848498575,-0.13600053913147253,0.14541605892967163,0.5261426465139122,0.896534390411428,-0.04701218738247648,0.08451508065881352,1.0047188588109022,1.0047188588109022,0.8728421619119124,1.1565206509262975
baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,internacoes_i60_i69,ur_med,1.1488043883741583,0.879919360220751,1.4998550803753532,1.0473001914592692,0.7995904821756676,1.3717493085287251,80.08333333333333,67.4223484848485,80.08333333333333,89.23312499999999,0.14085468822208855,Wald HAC,quasipoisson,1.033088456226137,FALSE,FALSE,FALSE,0.01335307641752014,28.20723534885807,-0.01688835210545539,0.00187186366082389,-7.207532112383605e-4,5844,4,3,21,0.24146517980929463,1,1,evidencia_insuficiente,P95_vs_P50,-0.01527355954180453,0.06529466505264261,-0.14325110304498406,0.112703983961375,0.4075245448509033,0.9548303523899028,-0.03311316433404976,0.07416410488353914,0.9848424896892165,0.9848424896892165,0.8665364516328591,1.119300552988388
