macro_regiao,estacao,exposicao,outcome,contrast,n_extreme,n_ref,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Centro-Sul,verao,ur_med,internacoes_i60_i69,P05_vs_P50,31,60,893.5,0.7553366088609446,-0.03924731182795699,-0.1693548387096775,1.0,1.0,False,False,False
Centro-Sul,verao,ur_med,internacoes_i60_i69,P95_vs_P50,50,60,1632.5,0.4143192026249517,0.08833333333333333,0.4700000000000002,0.7919729890884033,1.0,False,False,False
Centro-Sul,verao,ur_med,internacoes_i60_i64,P05_vs_P50,31,60,922.5,0.9514207174732279,-0.008064516129032258,-0.04946236559139794,1.0,1.0,False,False,False
Centro-Sul,verao,ur_med,internacoes_i60_i64,P95_vs_P50,50,60,1648.0,0.35757946267099416,0.09866666666666667,0.20666666666666655,0.7647243954151954,1.0,False,False,False
Centro-Sul,verao,ur_med,obitos_i60_i69,P05_vs_P50,31,60,944.5,0.8921532957608073,0.015591397849462365,0.14516129032258063,1.0,1.0,False,False,False
Centro-Sul,verao,ur_med,obitos_i60_i69,P95_vs_P50,50,60,1663.5,0.2702740584790776,0.109,0.16000000000000003,0.768147324098431,1.0,False,False,False
Centro-Sul,verao,ur_med,obitos_i60_i64,P05_vs_P50,31,60,922.5,0.9374856565333913,-0.008064516129032258,0.15161290322580645,1.0,1.0,False,False,False
Centro-Sul,verao,ur_med,obitos_i60_i64,P95_vs_P50,50,60,1738.5,0.08161494125411761,0.159,0.16000000000000003,0.4299713978265709,1.0,False,False,False
Centro-Sul,inverno,temp_med,internacoes_i60_i69,P05_vs_P50,119,107,4835.5,0.001385121237810501,-0.24047749941097935,-0.6126600172779393,0.02991861873670682,0.2991861873670682,True,True,False
Centro-Sul,inverno,temp_med,internacoes_i60_i64,P05_vs_P50,119,107,4946.0,0.0029671966473715544,-0.2231210241105788,-0.6265609047357261,0.04930111352555814,0.6409144758322558,True,True,False
Centro-Sul,inverno,temp_med,obitos_i60_i69,P05_vs_P50,119,107,6864.0,0.2664178143907824,0.07814340689546846,0.04979187936856988,0.7883047658686163,1.0,False,False,False
Centro-Sul,inverno,temp_med,obitos_i60_i64,P05_vs_P50,119,107,6738.0,0.3723400319876554,0.05835231288777193,0.06031571507107519,0.7659566372317483,1.0,False,False,False
Centro-Sul,inverno,ur_med,internacoes_i60_i69,P05_vs_P50,54,84,1876.0,0.07817474445321612,-0.1728395061728395,-0.45899470899470907,0.44436170531301794,1.0,False,False,False
Centro-Sul,inverno,ur_med,internacoes_i60_i69,P95_vs_P50,51,84,1676.5,0.030420404395759156,-0.2173202614379085,-0.3620448179271709,0.31289558807066564,1.0,False,False,False
Centro-Sul,inverno,ur_med,internacoes_i60_i64,P05_vs_P50,54,84,1903.0,0.10016939142920207,-0.1609347442680776,-0.40740740740740744,0.47036062062407924,1.0,False,False,False
Centro-Sul,inverno,ur_med,internacoes_i60_i64,P95_vs_P50,51,84,1443.0,0.001107978974553007,-0.32633053221288516,-0.7450980392156863,0.02659149538927217,0.23932345850344952,True,True,False
Centro-Sul,inverno,ur_med,obitos_i60_i69,P05_vs_P50,54,84,2315.0,0.8233931406567635,0.02072310405643739,0.04894179894179895,1.0,1.0,False,False,False
Centro-Sul,inverno,ur_med,obitos_i60_i69,P95_vs_P50,51,84,2197.0,0.7850127020279347,0.025676937441643323,0.031512605042016806,1.0,1.0,False,False,False
Centro-Sul,inverno,ur_med,obitos_i60_i64,P05_vs_P50,54,84,2270.0,0.9937091780812259,0.0008818342151675485,0.014550264550264536,1.0,1.0,False,False,False
Centro-Sul,inverno,ur_med,obitos_i60_i64,P95_vs_P50,51,84,2200.0,0.7551256677674957,0.02707749766573296,0.018907563025210072,1.0,1.0,False,False,False
Medio Paraiba,verao,temp_med,internacoes_i60_i69,P95_vs_P50,185,41,3261.0,0.15731430531350088,-0.14014502307185234,-0.5273566249176005,0.6067837490663605,1.0,False,False,False
Medio Paraiba,verao,temp_med,internacoes_i60_i64,P95_vs_P50,185,41,3161.5,0.09184709474281227,-0.16638101516150297,-0.5392221489782467,0.47235648724874885,1.0,False,False,False
Medio Paraiba,verao,temp_med,obitos_i60_i69,P95_vs_P50,185,41,3792.0,1.0,-0.00013183915622940013,-0.052999340804218864,1.0,1.0,False,False,False
Medio Paraiba,verao,temp_med,obitos_i60_i64,P95_vs_P50,185,41,3708.5,0.8137815976661495,-0.022148978246539223,-0.10810810810810811,1.0,1.0,False,False,False
Medio Paraiba,verao,ur_med,internacoes_i60_i69,P05_vs_P50,56,77,2146.0,0.9651842870115388,-0.00463821892393321,-0.1493506493506489,1.0,1.0,False,False,False
Medio Paraiba,verao,ur_med,internacoes_i60_i69,P95_vs_P50,84,77,3254.0,0.9468605390187785,0.006184291898577613,0.18398268398268414,1.0,1.0,False,False,False
Medio Paraiba,verao,ur_med,internacoes_i60_i64,P05_vs_P50,56,77,2062.5,0.6682514115461713,-0.04336734693877551,-0.27272727272727293,0.9954641716825724,1.0,False,False,False
Medio Paraiba,verao,ur_med,internacoes_i60_i64,P95_vs_P50,84,77,3292.0,0.843995885097763,0.017934446505875078,-0.02272727272727293,0.9961918643776875,1.0,False,False,False
Medio Paraiba,verao,ur_med,obitos_i60_i69,P05_vs_P50,56,77,2203.0,0.8263893334531774,0.021799628942486084,-0.011363636363636243,1.0,1.0,False,False,False
Medio Paraiba,verao,ur_med,obitos_i60_i69,P95_vs_P50,84,77,3447.0,0.45629744692562113,0.06586270871985157,0.12554112554112562,0.828237382654909,1.0,False,False,False
Medio Paraiba,verao,ur_med,obitos_i60_i64,P05_vs_P50,56,77,2048.5,0.6012715840151874,-0.049860853432282005,-0.0357142857142857,0.9210968946615636,1.0,False,False,False
Medio Paraiba,verao,ur_med,obitos_i60_i64,P95_vs_P50,84,77,3121.0,0.6835257368453593,-0.03494124922696351,0.011904761904761973,0.9908829473731383,1.0,False,False,False
Medio Paraiba,inverno,temp_med,internacoes_i60_i69,P05_vs_P50,184,33,3670.5,0.05431154080245656,0.20899209486166007,0.9174901185770752,0.3666029004165818,1.0,False,False,False
Medio Paraiba,inverno,temp_med,internacoes_i60_i64,P05_vs_P50,184,33,3676.5,0.0513886930279991,0.21096837944664032,0.7048748353096181,0.38275716186371744,1.0,False,False,False
Medio Paraiba,inverno,temp_med,obitos_i60_i69,P05_vs_P50,184,33,2991.0,0.890152939399228,-0.014822134387351778,-0.11627140974967065,1.0,1.0,False,False,False
Medio Paraiba,inverno,temp_med,obitos_i60_i64,P05_vs_P50,184,33,2954.0,0.7941911606856988,-0.027009222661396576,-0.10490777338603419,1.0,1.0,False,False,False
Medio Paraiba,inverno,ur_med,internacoes_i60_i69,P05_vs_P50,41,83,2072.5,0.046696761282903475,0.21804290332059947,4.230384954451953,0.3879423245041212,1.0,False,False,False
