macro_regiao,exposicao,outcome,contrast,ext_days,ref_days,ext_pct_events,ref_pct_events,chi2,chi_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Baixada Litoranea,ur_med,internacoes_i60_i69,P95_vs_P50,234,303,65.0,74.9,5.8372280714524365,0.01569052673178512,0.347605515288778,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P01_vs_P50,59,303,67.8,74.9,0.9519723630894299,0.32921775691877075,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i69,P99_vs_P50,59,303,66.1,74.9,1.5431547356182036,0.214148839265304,0.9205203837075754,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P05_vs_P50,234,303,79.9,72.3,3.771745881379835,0.052125198962804827,0.5176571483202687,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P95_vs_P50,234,303,63.7,72.3,4.139928836633666,0.04188293010309577,0.5244471247691991,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P01_vs_P50,59,303,66.1,72.3,0.6429308825640143,0.42265147064953756,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,internacoes_i60_i64,P99_vs_P50,59,303,64.4,72.3,1.1279048090222765,0.28822268849943944,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i69,P05_vs_P50,234,303,58.1,58.7,0.0033314671117506186,0.9539725684788479,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i69,P95_vs_P50,234,303,61.1,58.7,0.21670589169808477,0.6415614084260453,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i69,P01_vs_P50,59,303,69.5,58.7,1.9576374954564273,0.16176620958556104,0.8032529027696824,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i69,P99_vs_P50,59,303,66.1,58.7,0.8275844148959305,0.36297195189774845,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i64,P05_vs_P50,234,303,44.0,43.2,0.008768121646855465,0.9253965248984363,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i64,P95_vs_P50,234,303,46.6,43.2,0.4705935484039868,0.4927142352049867,1.0,1.0,False,False,False
Baixada Litoranea,ur_med,obitos_i60_i64,P01_vs_P50,59,303,44.1,43.2,0.0,1.0,1.0,1.0,False,False,False
