outcome,exposure,modelo_id,macro_regiao,rr_p05,rr_p05_low,rr_p05_high,rr_p95,rr_p95_low,rr_p95_high,cen,p05_val,p50_val,p95_val,p_association,p_method,family,dispersion,alerta_convergencia,rr_explosivo,modelo_invalido,lb_pvalue,lb_statistic,acf_lag1,acf_lag7,acf_lag14,n_obs,df_exp,df_lag,lag_max,p_fdr_p05,p_p05,p_p95,classificacao,log_rr_p05,se_log_rr_p05,log_rr_p95,se_log_rr_p95,region_id,outcome_id,exposure_id,mu_hat,tau_hat,post_mean,post_sd,rr_posterior,cr95_lower,cr95_upper,pr_gt_1,pr_gt_110
internacoes_i60_i64,ur_med,serrana_internacoes_i60_i64_ur_med,Serrana,0.9725167898102176,0.7594638311848252,1.2453376548390247,1.0853695979249924,0.8316878992595387,1.4164293662907337,83.18791666666667,67.35729166666667,83.18791666666667,94.78285024154587,0.05945918177877396,Wald HAC,quasipoisson,1.3462148303584072,FALSE,FALSE,FALSE,3.924474450056614e-5,45.10354099056872,-0.01773865379215488,0.01060943050080802,0.00138246886299572,5844,4,3,21,0.1337831590022414,1,1,evidencia_insuficiente,-0.027867939052224937,0.12616053107372793,0.0819205722355248,0.13582581727257748,9,1,2,-0.02213651763029989,0.06782274247491639,-0.023421543272718337,0.05973766377819412,0.9768506121645145,0.8689172659609274,1.0981909968504364,0.34750202557477067,0.9765693795042673
internacoes_i60_i69,temp_med,baia_da_ilha_grande_internacoes_i60_i69_temp_med,Baia da Ilha Grande,1.2813573311409243,0.86628545810776,1.8953066736857944,0.9183709737059048,0.6414153980780529,1.3149126882091149,22.827219202898547,18.35,22.827219202898547,27.87374999999999,0.07724964246412044,Wald HAC,quasipoisson,1.046119291700157,FALSE,FALSE,FALSE,7.630147762716089e-5,43.314158306526025,-0.03989890014649309,-0.03614477459436315,-0.01678972386870213,5844,4,3,21,0.15032362857882897,1,1,evidencia_insuficiente,0.24791993104259166,0.19972486095806757,-0.08515385920167502,0.1831245539938191,1,2,1,0.16599199093185102,0.23487959866220734,0.21353995413709626,0.15215354264215725,1.2380529626177275,0.9188053462606923,1.668226185757999,0.9197587173927017,0.21856683813058864
internacoes_i60_i69,temp_med,baixada_litoranea_internacoes_i60_i69_temp_med,Baixada Litoranea,0.9249922880187372,0.7037304498821745,1.215821672967815,0.9840851293399964,0.7362512853155608,1.3153437706706976,23.345833333333335,19.770833333333332,23.345833333333335,26.987499999999997,0.18140770241953985,Wald HAC,quasipoisson,1.0325241555807605,FALSE,FALSE,FALSE,0.01056649387589037,28.96450797316132,-0.01832926722505428,0.00334256788241377,-6.266243034234754e-4,5844,4,3,21,0.2839424907436276,1,1,evidencia_insuficiente,-0.07796987878150798,0.13948469441395683,-0.01604287211505869,0.14803108476690335,2,2,1,0.16599199093185102,0.23487959866220734,-0.01436445106196655,0.11993098713399596,0.985738225446692,0.7792454604846267,1.24694964344417,0.45233162762386114,0.8197679692525274
internacoes_i60_i69,temp_med,centro_sul_internacoes_i60_i69_temp_med,Centro-Sul,1.047393899030258,0.7000207054387042,1.567145044714489,0.979621194300304,0.7306615614501477,1.3134092922826217,19.670833333333334,10.321041666666668,19.670833333333334,26.454166666666666,0.7423209199657115,Wald HAC,quasipoisson,1.4692174886723754,FALSE,FALSE,FALSE,0.02586341155439142,26.003103496080573,-0.0149448538454894,-0.01170796621170632,-0.01701705798764686,5844,4,3,21,0.7527761441905806,1,1,evidencia_insuficiente,0.046305077975422576,0.20558696079258257,-0.020589318470242264,0.14959978989944467,3,2,1,0.16599199093185102,0.23487959866220734,0.09822396509139528,0.15469798282718833,1.1032098379340518,0.8146602846816882,1.4939625380044428,0.737266284887338,0.49248624062876023
internacoes_i60_i69,temp_med,medio_paraiba_internacoes_i60_i69_temp_med,Medio Paraiba,0.9456896016574105,0.7255158392315015,1.2326799420812975,1.138098830277786,0.912615706896866,1.419292849872068,21.88294082125604,16.7378125,21.88294082125604,26.34375,0.02244039350029963,Wald HAC,negative_binomial,6.0977627588578995,FALSE,FALSE,FALSE,0.00185769217485176,34.310108779142425,-0.01461963717193247,-0.00587531702204222,0.00878884887716615,5844,4,3,21,0.0673211805008989,1,1,sinal_sugestivo,-0.055840880413517036,0.1352201501650473,0.12935917752008613,0.1126528454109814,4,2,1,0.16599199093185102,0.23487959866220734,-6.204619313761664e-4,0.11718774372009255,0.9993797305153239,0.7942885746488018,1.257426932278974,0.4978877710802507,0.7934945043268822
internacoes_i60_i69,temp_med,metropolitana_i_internacoes_i60_i69_temp_med,Metropolitana I,1.3430331927017778,0.9593831579376052,1.8801019611145176,1.5479458196827234,1.1339600897131767,2.1130693067683675,23.440486111111113,18.95347644927536,23.440486111111113,28.231291666666664,0.02711139654371892,Wald HAC,quasipoisson,22.315412765710345,FALSE,FALSE,FALSE,0,138.85351239635904,0.05182925481479612,0.0325651501482132,0.0329334779889885,5844,4,3,21,0.07229705744991713,1,0.02711139654371892,sinal_sugestivo,0.29493063257579905,0.1716302946075489,0.43692877435005484,0.15878202240830855,5,2,1,0.16599199093185102,0.23487959866220734,0.25004882548473084,0.13857628620181364,1.284088111381655,0.9786700748254573,1.6848193484262592,0.9644166915355943,0.13207595968778366
internacoes_i60_i69,temp_med,metropolitana_ii_internacoes_i60_i69_temp_med,Metropolitana II,1.0968768593328777,0.8858446933170822,1.358182595229819,0.8614665538929159,0.7308788897226735,1.0153865899146846,21.996875000000003,14.417291666666667,21.996875000000003,28.229166666666668,0.00971241910312742,Wald HAC,quasipoisson,1.3796018650131492,FALSE,FALSE,FALSE,0.00206828150035431,33.991580372868484,0.00977903072659915,0.01361653811470325,-6.454784090427558e-4,5844,4,3,21,0.03496470877125873,1,1,sinal_sugestivo,0.09246692278894994,0.10902069195963389,-0.14911904687525754,0.0838716651107664,6,2,1,0.16599199093185102,0.23487959866220734,0.10549946142376888,0.09888765741337423,1.1112655060215029,0.9154675623599843,1.348940230814677,0.8569828702768675,0.4589660239713651
internacoes_i60_i69,temp_med,noroeste_internacoes_i60_i69_temp_med,Noroeste,1.796217097387641,1.3243140255118182,2.4362770451674036,0.7863295693664989,0.5886485028107102,1.0503962699433431,23.820833333333333,18.439375,23.820833333333333,28.620833333333337,1.8322648501943763e-4,Wald HAC,negative_binomial,3.1298151439651485,FALSE,FALSE,FALSE,0.03149654038311955,25.32441490306342,0.02053518599392771,0.04617917412094836,0.00617133958650526,5844,4,3,21,0.00219871782023325,1.8322648501943763e-4,1,sinal_sugestivo,0.585682840853014,0.15550420003632223,-0.24037927498590747,0.1477279428081294,7,2,1,0.16599199093185102,0.23487959866220734,0.4577839098390593,0.12966238420411022,1.5805674210880967,1.225863675503221,2.0379047218113873,0.9997926781583508,0.0025908183806370496
internacoes_i60_i69,temp_med,norte_internacoes_i60_i69_temp_med,Norte,0.8193150315567193,0.6023267049362825,1.1144734500951594,0.4038457241884322,0.29517030114601206,0.5525331251554428,23.764583333333334,19.796458333333337,23.764583333333334,27.6375,0.10501039884425682,Wald HAC,quasipoisson,2.151111217775683,FALSE,FALSE,FALSE,0.35700343051200156,15.31443963361662,-2.9827114516023243e-4,0.02669535294255654,0.00848785578528426,5844,4,3,21,0.19386535171247415,1,0.10501039884425682,evidencia_insuficiente,-0.19928661517401133,0.15697380942733116,-0.9067223447729288,0.15993900633568578,8,2,1,0.16599199093185102,0.23487959866220734,-0.08650828493569214,0.13051066658699392,0.9171279504071391,0.7101286050713718,1.1844666887252941,0.25371505685781237,0.9182099205873763
internacoes_i60_i69,temp_med,serrana_internacoes_i60_i69_temp_med,Serrana,2.726740747766628,1.504879149382536,4.940672550737112,1.3815271362345214,0.7729876233763854,2.469143321875683,17.786388888888887,12.093055555555557,17.786388888888887,22.439429924242425,0.04957749881003178,Wald HAC,quasipoisson,15.65613660482112,FALSE,FALSE,FALSE,0.0606986759265542,22.97372110570376,0.02765261264823857,0.02366748393824424,0.03438939432689242,5844,4,3,21,0.11898599714407627,0.04957749881003178,1,evidencia_insuficiente,1.0031070306850378,0.3032624668989625,0.32318950777584154,0.29626619870141374,9,2,1,0.16599199093185102,0.23487959866220734,0.47986586597082936,0.18569648181028522,1.6158576461593928,1.1228844333747485,2.3252579295311917,0.9951189042153689,0.019184865903298928
internacoes_i60_i69,ur_med,baia_da_ilha_grande_internacoes_i60_i69_ur_med,Baia da Ilha Grande,0.8474092963665959,0.5384981481872028,1.3335282915752742,1.0994006343193343,0.721895025533964,1.6743178883214067,81.375,69.68966131907308,81.375,91.1875,0.06523382556148186,Wald HAC,quasipoisson,1.0465531354302706,FALSE,FALSE,FALSE,3.820048903613315e-5,45.17563989422558,-0.0395574467889922,-0.03611156169993061,-0.01672422837086618,5844,4,3,21,0.13419529829790552,1,1,evidencia_insuficiente,-0.1655714703912789,0.23132640348755404,0.09476515341290695,0.2146126010562395,1,2,2,-0.04687062506735662,0.08452842809364548,-0.060852929578042586,0.07939399907845437,0.9409616172222363,0.8053605869378486,1.0993942085643869,0.22169905541694532,0.9754048463823715
internacoes_i60_i69,ur_med,baixada_litoranea_internacoes_i60_i69_ur_med,Baixada Litoranea,1.1488043883741583,0.879919360220751,1.4998550803753532,1.0473001914592692,0.7995904821756676,1.3717493085287251,80.08333333333333,67.4223484848485,80.08333333333333,89.23312499999999,0.14085468822208855,Wald HAC,quasipoisson,1.033088456226137,FALSE,FALSE,FALSE,0.01335307641752014,28.20723534885807,-0.01688835210545539,0.00187186366082389,-7.207532112383605e-4,5844,4,3,21,0.24146517980929463,1,1,evidencia_insuficiente,0.13872173926810458,0.1360442607600089,0.04621560660919609,0.13768938074896103,2,2,2,-0.04687062506735662,0.08452842809364548,0.0048216805143747234,0.07179812856316244,1.0048333235212978,0.8729276065724004,1.1566709546779739,0.5267712734363684,0.8962227294421076
