macro_regiao,exposicao,outcome,contrast,n_extreme,n_ref,median_extreme,median_ref,mean_extreme,mean_ref,std_extreme,std_ref,mw_U,mw_p,ks_stat,ks_p,bm_p_hat,bm_p,mood_stat,mood_p,cliffs_delta,hl_est,hl_ci_low,hl_ci_high,perm_p,kw_H,kw_p,jt_JT,jt_E,jt_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,ks_fdr_bh,combined_signal
Baixada Litoranea,temp_med,internacoes_i60_i64,P05_vs_P50,234,240,1.0,1.0,1.7307692307692308,1.4375,1.3556442022727861,1.4039564630001886,32201.5,0.004355259828841164,0.12061965811965802,0.056887956252400035,0.5733885327635327,0.15150702619896317,6.548084586754932,0.010499713262786642,0.14677706552706551,0.0,0.0,1.0,,,,,,,0.4200956769408003,1.0,False,False,False,0.4200956769408003,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P95_vs_P50,234,240,1.0,1.0,1.705128205128205,1.4375,1.5451244606658912,1.4039564630001886,31466.0,0.019187634028769246,0.12489316239316228,0.04415820777809962,0.5602920227920228,0.23994251196243663,7.029429388953597,0.00801808975235778,0.12058404558404559,0.0,0.0,1.0,,,,,,,0.38538072242705124,1.0,False,False,False,0.38538072242705124,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P01_vs_P50,59,240,1.0,1.0,1.3389830508474576,1.4375,1.3605852366365747,1.4039564630001886,6838.5,0.674424264403575,0.05748587570621477,0.9942892353633493,0.4829449152542373,0.8672405821807846,0.003841525118008123,0.9505787287530539,-0.03411016949152542,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,temp_med,internacoes_i60_i64,P99_vs_P50,59,240,2.0,1.0,1.9661016949152543,1.4375,1.6047186953958812,1.4039564630001886,8496.5,0.014107106759792768,0.20543785310734464,0.03093750541269346,0.6000353107344634,0.3251669740462569,7.427641815628121,0.006422945807529081,0.20007062146892654,1.0,0.0,1.0,0.0625,9.306678999417484,0.009529724221107741,63420.0,83538.0,1.11411269297103e-11,0.3426923676482968,1.0,False,False,False,0.3426923676482968,False
Baixada Litoranea,temp_med,obitos_i60_i69,P05_vs_P50,234,240,1.0,1.0,1.0769230769230769,0.9833333333333333,1.059380936416082,1.0799948559548276,29686.5,0.2545955638086034,0.04134615384615381,0.9796594113019624,0.5286057692307692,0.568989069410437,0.6270904491589294,0.4284245690221834,0.05721153846153846,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,temp_med,obitos_i60_i69,P95_vs_P50,234,240,1.0,1.0,0.9358974358974359,0.9833333333333333,1.0337022946308327,1.0799948559548276,27375.0,0.6157646431138614,0.039850427350427375,0.9862989845036988,0.48744658119658113,0.8020083553249749,0.02489495798319325,0.8746290861770214,-0.025106837606837608,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,temp_med,obitos_i60_i69,P01_vs_P50,59,240,1.0,1.0,1.0677966101694916,0.9833333333333333,1.022864153872177,1.0799948559548276,7550.0,0.4031124194721363,0.06341807909604513,0.9833303415709855,0.5331920903954803,0.739427199183787,0.6980283940557962,0.4034469764700631,0.06638418079096045,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,temp_med,obitos_i60_i69,P99_vs_P50,59,240,1.0,1.0,0.8983050847457628,0.9833333333333333,1.0032982092846603,1.0799948559548276,6764.0,0.5733295640328211,0.07012711864406779,0.9579303154703257,0.477683615819209,0.8227596753574995,0.0010396002032090038,0.974278399075358,-0.04463276836158192,0.0,0.0,0.0,,2.730632360838243,0.2552999423827735,53362.0,83538.0,2.2885023838038558e-24,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,temp_med,obitos_i60_i64,P05_vs_P50,234,240,0.0,0.0,0.6623931623931624,0.625,0.8173572690399177,0.8761896674426909,29179.0,0.4119988945391423,0.04155982905982891,0.9786363098297303,0.5195690883190883,0.6818438553898387,0.27971560698668196,0.5968876785606425,0.03913817663817664,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,temp_med,obitos_i60_i64,P95_vs_P50,234,240,0.0,0.0,0.5769230769230769,0.625,0.819410316988451,0.8761896674426909,27282.0,0.5452565454743659,0.03568376068376078,0.996277589736722,0.4857905982905983,0.7624772675514013,0.4802480798318925,0.48830996814458827,-0.02841880341880342,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
