macro_regiao,exposicao,outcome,contrast,n_P05,n_P50,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,cliffs_delta,cliffs_abs,cliffs_magnitude
Centro-Sul,temp_med,internacoes_i60_i69,P95_vs_P50,,191,,2.0,,2.0785340314136125,27031.0,0.4776949257603552,-0.09894219467891863,294.0,2.0,1.9795918367346939,0.7019190745866444,1.0,False,False,False,-0.03725469245289739,0.03725469245289739,negligenciável
Centro-Sul,temp_med,internacoes_i60_i64,P05_vs_P50,293.0,191,1.0,2.0,1.5392491467576792,1.9162303664921465,24293.0,0.011642489048178266,-0.3769812197344673,,,,0.0698549342890696,1.0,False,True,False,-0.13181923771063023,0.13181923771063023,negligenciável
Centro-Sul,temp_med,internacoes_i60_i64,P95_vs_P50,,191,,2.0,,1.9162303664921465,26928.0,0.43489387614551067,-0.13731880186629608,294.0,2.0,1.7789115646258504,0.6807034583147124,1.0,False,False,False,-0.04092317555294369,0.04092317555294369,negligenciável
Centro-Sul,temp_med,obitos_i60_i69,P05_vs_P50,293.0,191,1.0,0.0,0.6928327645051194,0.743455497382199,27995.0,0.9924456676676687,-0.050622732877079524,,,,0.9924456676676687,1.0,False,False,False,0.0004824616264317496,0.0004824616264317496,negligenciável
Centro-Sul,temp_med,obitos_i60_i69,P95_vs_P50,,191,,0.0,,0.743455497382199,25777.0,0.08930355670110275,-0.18563236813049833,294.0,0.0,0.5578231292517006,0.2521512189207607,1.0,False,False,False,-0.08191758378744168,0.08191758378744168,negligenciável
Centro-Sul,temp_med,obitos_i60_i64,P05_vs_P50,293.0,191,0.0,0.0,0.4812286689419795,0.4712041884816754,28257.0,0.8316742290407946,0.01002448046030413,,,,0.9212391460144186,1.0,False,False,False,0.00984579096903311,0.00984579096903311,negligenciável
Centro-Sul,temp_med,obitos_i60_i64,P95_vs_P50,,191,,0.0,,0.4712041884816754,25665.0,0.05291565611215188,-0.11065997079460055,294.0,0.0,0.36054421768707484,0.16564901043804067,1.0,False,False,False,-0.08590661395448232,0.08590661395448232,negligenciável
Centro-Sul,ur_med,internacoes_i60_i69,P05_vs_P50,293.0,289,2.0,2.0,1.7440273037542662,1.8961937716262975,40154.5,0.2685323017262562,-0.15216646787203136,,,,0.5297075540901491,1.0,False,False,False,-0.05158425546488421,0.05158425546488421,negligenciável
Centro-Sul,ur_med,internacoes_i60_i69,P95_vs_P50,,289,,2.0,,1.8961937716262975,35536.5,0.0005569174395293325,-0.2989241470529187,293.0,1.0,1.5972696245733788,0.00891067903246932,0.08019611129222388,True,True,False,-0.16065755754218974,0.16065755754218974,pequeno
Centro-Sul,ur_med,internacoes_i60_i64,P05_vs_P50,293.0,289,2.0,2.0,1.6348122866894197,1.740484429065744,40223.5,0.28273550934119895,-0.10567214237632427,,,,0.5357093861201665,1.0,False,False,False,-0.049954533108163966,0.049954533108163966,negligenciável
Centro-Sul,ur_med,internacoes_i60_i64,P95_vs_P50,,289,,2.0,,1.740484429065744,35009.0,0.00018985594010987214,-0.37529671575516366,293.0,1.0,1.3651877133105803,0.0039056079108316555,0.02733925537582159,True,True,True,-0.17311666686349303,0.17311666686349303,pequeno
Centro-Sul,ur_med,obitos_i60_i69,P05_vs_P50,293.0,289,0.0,0.0,0.6245733788395904,0.5051903114186851,44274.0,0.27726041585107986,0.11938306742090532,,,,0.5395337821966959,1.0,False,False,False,0.04571489306423232,0.04571489306423232,negligenciável
Centro-Sul,ur_med,obitos_i60_i69,P95_vs_P50,,289,,0.0,,0.5051903114186851,46812.0,0.013324001268357071,0.17399057595332856,293.0,0.0,0.6791808873720137,0.0737944685632084,1.0,False,True,False,0.10566033279402907,0.10566033279402907,negligenciável
Centro-Sul,ur_med,obitos_i60_i64,P05_vs_P50,293.0,289,0.0,0.0,0.41638225255972694,0.32525951557093424,44206.5,0.2511196721038754,0.0911227369887927,,,,0.5022393442077508,1.0,False,False,False,0.0441205994543973,0.0441205994543973,negligenciável
Centro-Sul,ur_med,obitos_i60_i64,P95_vs_P50,,289,,0.0,,0.32525951557093424,45881.0,0.032887487665025125,0.11501352197172787,293.0,0.0,0.4402730375426621,0.12462626904641101,1.0,False,False,False,0.08367089056060087,0.08367089056060087,negligenciável
Medio Paraiba,temp_med,internacoes_i60_i69,P05_vs_P50,293.0,248,4.0,4.0,5.290102389078498,4.512096774193548,40522.5,0.019790217762741584,0.7780056148849503,,,,0.09192875347854156,1.0,False,True,False,0.11533909501266101,0.11533909501266101,negligenciável
Medio Paraiba,temp_med,internacoes_i60_i69,P95_vs_P50,,248,,4.0,,4.512096774193548,32761.0,0.04024663299082584,-0.15155255650647348,294.0,3.0,4.360544217687075,0.14135402806533956,1.0,False,False,False,-0.10135505815229318,0.10135505815229318,negligenciável
Medio Paraiba,temp_med,internacoes_i60_i64,P05_vs_P50,293.0,248,4.0,3.0,3.78839590443686,3.379032258064516,40688.5,0.01509436814776744,0.409363646372344,,,,0.08050329678809301,1.0,False,True,False,0.1199080700209182,0.1199080700209182,negligenciável
