estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo_cidgrupo,temp_med,P05_vs_P50,376.0,338,3,1.0,1.0,2.7898936170212765,2.8550295857988166,68738.5,0.022492386499635725,-0.06513596877754013,,,,,,I65-I69_outros,,0.11897288648491527,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,255.0,261,,2.0,2.0,2.815686274509804,2.8007662835249043,36878.5,0.029048543846183918,0.014919990984899822,,,,,,,Noroeste,0.14596893282707418,1.0,False,False,False
sexo_cidgrupo,ur_med,P95_vs_P50,,766,2,,1.0,,2.1684073107049606,251474.0,0.03779717364518594,-0.1540394946130066,696.0,1.0,2.014367816091954,,,I64_nao_especificado,,0.18529833908981402,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,,2189,,,1.0,,1.4408405664687072,2792301.5,0.04303674302947303,0.19748960430928153,2635.0,1.0,1.6383301707779887,40-59,,,,0.1988594333085995,1.0,False,False,False
faixa_etaria_desfecho,temp_med,P95_vs_P50,,2189,,,1.0,,1.4408405664687072,2792301.5,0.04303674302947303,0.19748960430928153,2635.0,1.0,1.6383301707779887,40-59,internacao,,,0.1988594333085995,1.0,False,False,False
desfecho,ur_med,P05_vs_P50,2637.0,2825,,1.0,1.0,2.83996966249526,2.989380530973451,3610271.0,0.04217916763920776,-0.14941086847819118,,,,,obito,,,0.20185744513049425,1.0,False,False,False
cid_grupo,temp_med,P95_vs_P50,,1820,,,3.0,,5.6752747252747255,1902419.0,0.05162376392277375,-0.2341118272590359,2167.0,3.0,5.44116289801569,,,I64_nao_especificado,,0.23058614552172274,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,260.0,177,,2.0,3.0,2.6615384615384614,3.005649717514124,20567.5,0.05365958390277028,-0.3441112559756627,,,,,,,Centro-Sul,0.23446905140123536,1.0,False,False,False
sexo,temp_med,P05_vs_P50,1306.0,1066,2,1.0,2.0,3.0849923430321593,3.027204502814259,667471.0,0.06318687190578577,0.0577878402179004,,,,,,,,0.2442415625589027,1.0,False,False,False
sexo_desfecho,temp_med,P05_vs_P50,2639.0,2189,1,1.0,1.0,2.9151193633952253,2.9063499314755594,2802269.5,0.06785856341626145,0.008769431919665838,,,,,internacao,,,0.24799220448488277,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,,2189,,,0.0,,1.007309273640932,2803726.0,0.06243722991613736,0.049237215922635524,2635.0,0.0,1.0565464895635674,80+,,,,0.24851253887413086,1.0,False,False,False
faixa_etaria_desfecho,temp_med,P95_vs_P50,,2189,,,0.0,,1.007309273640932,2803726.0,0.06243722991613736,0.049237215922635524,2635.0,0.0,1.0565464895635674,80+,internacao,,,0.24851253887413086,1.0,False,False,False
