estratificacao,exposicao,contrast,n_extreme,n_ref,mean_extreme,mean_ref,mw_U,mw_p,cliffs_delta,sexo,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
cid_grupo,temp_med,P95_vs_P50,1092,1170,3.631868131868132,3.6982905982905985,612552.0,0.07159139461192038,-0.041119564196487275,,,,I65-I69_outros,,0.32812722530463506,1.0,False,False,False
cid_grupo,temp_med,P05_vs_P50,1142,1195,2.874781085814361,2.7548117154811718,676112.5,0.6829383539549994,-0.009133942507089522,,,,I60-I62_hemorragico,,1.0,1.0,False,False,False
cid_grupo,temp_med,P95_vs_P50,1057,1195,2.4824976348155157,2.7548117154811718,597029.5,0.01588814711620147,-0.05467118987582287,,,,I60-I62_hemorragico,,0.15535077180285883,1.0,False,False,False
cid_grupo,temp_med,P05_vs_P50,463,531,1.792656587473002,1.5988700564971752,127190.5,0.27484045884025377,0.03468739449996543,,,,I63_isquemico,,0.6793809094927621,1.0,False,False,False
cid_grupo,temp_med,P95_vs_P50,453,531,1.6600441501103753,1.5988700564971752,122662.5,0.5339003664496087,0.019880021451466057,,,,I63_isquemico,,0.9212398479914816,1.0,False,False,False
cid_grupo,ur_med,P05_vs_P50,1731,2335,5.778740612362796,5.8659528907922915,2013122.0,0.8304816117925675,-0.0038697290991703127,,,,I64_nao_especificado,,1.0,1.0,False,False,False
cid_grupo,ur_med,P95_vs_P50,1708,2335,5.135831381733021,5.8659528907922915,1852188.0,8.525886540792528e-05,-0.07116128158708986,,,,I64_nao_especificado,,0.0037513900779487124,0.037513900779487123,True,True,True
cid_grupo,ur_med,P05_vs_P50,1105,1498,3.5927601809954752,3.4018691588785046,829874.0,0.9004253094909199,0.00269318367174332,,,,I65-I69_outros,,1.0,1.0,False,False,False
cid_grupo,ur_med,P95_vs_P50,1074,1498,3.7513966480446927,3.4018691588785046,805558.0,0.9483170082978841,0.0014072145853067902,,,,I65-I69_outros,,1.0,1.0,False,False,False
cid_grupo,ur_med,P05_vs_P50,1080,1523,2.714814814814815,2.830597504924491,808580.0,0.43619637341831696,-0.01682838452372267,,,,I60-I62_hemorragico,,0.8492318774515906,1.0,False,False,False
cid_grupo,ur_med,P95_vs_P50,1038,1523,2.779383429672447,2.830597504924491,779260.0,0.5179826462686363,-0.014140279364452828,,,,I60-I62_hemorragico,,0.915310700233735,1.0,False,False,False
cid_grupo,ur_med,P05_vs_P50,480,681,1.6520833333333333,1.6519823788546255,167312.0,0.4263230126040617,0.023690651003426332,,,,I63_isquemico,,0.8449645294855277,1.0,False,False,False
cid_grupo,ur_med,P95_vs_P50,414,681,1.6207729468599035,1.6519823788546255,140407.0,0.8976791762879893,-0.003972560953982138,,,,I63_isquemico,,1.0,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,158,167,1.8417721518987342,1.778443113772455,13714.0,0.5035460991581006,0.039490638975214126,,,,,Baia da Ilha Grande,0.9006515594697734,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,160,167,1.7125,1.778443113772455,12878.5,0.533352562671517,-0.03604041916167665,,,,,Baia da Ilha Grande,0.9239178251002657,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,221,212,2.9547511312217196,2.80188679245283,25617.5,0.08409512139016707,0.09354990181849228,,,,,Baixada Litoranea,0.3775699327721787,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,214,212,2.957943925233645,2.80188679245283,23940.5,0.3114811861158544,0.05539146535002645,,,,,Baixada Litoranea,0.7138110515154996,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,205,177,2.653658536585366,3.005649717514124,16056.5,0.04723308932591317,-0.11497864131183684,,,,,Centro-Sul,0.25978199129252244,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,216,177,2.6435185185185186,3.005649717514124,16975.5,0.05069613092676482,-0.11197426239799121,,,,,Centro-Sul,0.2624270306797237,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,231,246,6.783549783549783,6.073170731707317,32391.0,0.007817358981294825,0.14000633512828634,,,,,Medio Paraiba,0.08389360857974934,1.0,False,True,False
