macro_regiao,dia_tipo,exposicao,outcome,contrast,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Metropolitana II,Util,temp_med,obitos_i60_i69,P95_vs_P50,35378.5,0.025573595930455172,-0.10802259032347528,-0.36687845094924754,0.12698613151674293,1.0,False,False,False
Metropolitana II,Util,temp_med,obitos_i60_i64,P05_vs_P50,44565.0,0.009842295549196956,0.12359125633461916,0.31415929203539816,0.07459423995180851,1.0,False,True,False
Metropolitana II,Util,temp_med,obitos_i60_i64,P95_vs_P50,38608.5,0.5775556387257544,-0.0265864911882611,-0.08755010967400345,0.7700741849676725,1.0,False,False,False
Metropolitana II,Util,ur_med,internacoes_i60_i69,P05_vs_P50,42632.5,0.024309517260863642,0.11091567646445695,0.6947310819262045,0.1250203744844416,1.0,False,False,False
Metropolitana II,Util,ur_med,internacoes_i60_i69,P95_vs_P50,22121.0,3.5636694164368396e-17,-0.4160859465737515,-2.387353500158378,2.5658419798345245e-15,5.131683959669049e-15,True,True,True
Metropolitana II,Util,ur_med,internacoes_i60_i64,P05_vs_P50,42258.5,0.03990581914904236,0.10117000208463624,0.6017041901188245,0.1915479319154033,1.0,False,False,False
Metropolitana II,Util,ur_med,internacoes_i60_i64,P95_vs_P50,21878.5,1.162325570437502e-17,-0.4224870657797487,-2.3671602787456445,1.673748821430003e-15,1.673748821430003e-15,True,True,True
Metropolitana II,Util,ur_med,obitos_i60_i69,P05_vs_P50,33337.0,0.00708780996010127,-0.13130602459870752,-0.4613039399624763,0.0680429756169722,1.0,False,True,False
Metropolitana II,Util,ur_med,obitos_i60_i69,P95_vs_P50,34878.0,0.1045350124034574,-0.07934748178650618,-0.31328529194382826,0.2951576820803503,1.0,False,False,False
Metropolitana II,Util,ur_med,obitos_i60_i64,P05_vs_P50,35791.5,0.16254118649148697,-0.06734677923702313,-0.1502501563477172,0.3600912439196019,1.0,False,False,False
Metropolitana II,Util,ur_med,obitos_i60_i64,P95_vs_P50,35656.0,0.2247101582959803,-0.0588111075915954,-0.11828212437968522,0.45575018020593183,1.0,False,False,False
Noroeste,Util,temp_med,internacoes_i60_i69,P05_vs_P50,21970.5,0.7579771224312462,-0.016847899046851928,-0.09869333691323212,0.8946615215581921,1.0,False,False,False
Noroeste,Util,temp_med,internacoes_i60_i69,P95_vs_P50,22540.5,0.9987093819681803,0.00011092377318306859,0.056637678587274864,0.9987093819681802,1.0,False,False,False
Noroeste,Util,temp_med,internacoes_i60_i64,P05_vs_P50,22649.0,0.8036892904052761,0.013514118226160112,-0.04557658746140425,0.8902404447566136,1.0,False,False,False
Noroeste,Util,temp_med,internacoes_i60_i64,P95_vs_P50,22566.5,0.9818472053026134,0.001264531014286982,-0.05024846925193005,0.9887132696753589,1.0,False,False,False
Noroeste,Util,temp_med,obitos_i60_i69,P05_vs_P50,23196.5,0.4460464089951206,0.03801405110305634,0.06372219984785432,0.6981595966880149,1.0,False,False,False
Noroeste,Util,temp_med,obitos_i60_i69,P95_vs_P50,22865.5,0.769408038383545,0.014531014286981985,0.01606176235690837,0.8863580602178438,1.0,False,False,False
Noroeste,Util,temp_med,obitos_i60_i64,P05_vs_P50,22569.0,0.8214630336934424,0.009934219358303128,-0.0022821855282588177,0.9029822660447001,1.0,False,False,False
Noroeste,Util,temp_med,obitos_i60_i64,P95_vs_P50,22794.5,0.7964957265211352,0.011380779128582838,-0.02227349365516018,0.8891115086747555,1.0,False,False,False
Noroeste,Util,ur_med,internacoes_i60_i69,P05_vs_P50,36466.0,0.4393215969882709,0.037956308261581154,-0.09297658862876257,0.6951902194100111,1.0,False,False,False
Noroeste,Util,ur_med,internacoes_i60_i69,P95_vs_P50,34779.0,0.9557386913849236,0.0027390151078307,0.05960961826778921,0.9691997997142887,1.0,False,False,False
Noroeste,Util,ur_med,internacoes_i60_i64,P05_vs_P50,36289.5,0.5006152692034647,0.032932469935245144,0.1010602718280793,0.7355979465846828,1.0,False,False,False
Noroeste,Util,ur_med,internacoes_i60_i64,P95_vs_P50,33982.0,0.6791005008206183,-0.020239880059970013,-0.0117056856187292,0.8287328145607546,1.0,False,False,False
Noroeste,Util,ur_med,obitos_i60_i69,P05_vs_P50,36325.5,0.45178310135181776,0.03395716217177827,0.07308048103607778,0.6995351246737823,1.0,False,False,False
Noroeste,Util,ur_med,obitos_i60_i69,P95_vs_P50,35122.0,0.7799774439488716,0.012628301233998385,0.08564467766116945,0.8843838734538386,1.0,False,False,False
Noroeste,Util,ur_med,obitos_i60_i64,P05_vs_P50,36269.0,0.42461802600306675,0.032348964633886,0.056130363623425605,0.6793888416049069,1.0,False,False,False
Noroeste,Util,ur_med,obitos_i60_i64,P95_vs_P50,34983.0,0.8302679656779457,0.008620689655172414,0.04389632107023411,0.9057468716486681,1.0,False,False,False
Norte,Util,temp_med,internacoes_i60_i69,P05_vs_P50,31879.0,0.06907934358356796,0.0942573713658051,0.309906291834003,0.24262013356179965,1.0,False,False,False
Norte,Util,temp_med,internacoes_i60_i69,P95_vs_P50,27795.5,0.3343236812052993,-0.049970093138511494,-0.26858070580193116,0.5943532110316432,1.0,False,False,False
Norte,Util,temp_med,internacoes_i60_i64,P05_vs_P50,31526.0,0.11287310509892695,0.08214052792366046,0.2822572340644629,0.30099494693047185,1.0,False,False,False
Norte,Util,temp_med,internacoes_i60_i64,P95_vs_P50,27230.0,0.18001489576280727,-0.0692984704776553,-0.31243270956165103,0.3812080145565331,1.0,False,False,False
Norte,Util,temp_med,obitos_i60_i69,P05_vs_P50,30413.5,0.38364959839586776,0.043953592146363234,0.08922870971063745,0.6423900252209879,1.0,False,False,False
Norte,Util,temp_med,obitos_i60_i69,P95_vs_P50,29532.0,0.8529181449917509,0.009382209689823123,0.05767751858497827,0.9165687528269562,1.0,False,False,False
Norte,Util,temp_med,obitos_i60_i64,P05_vs_P50,28991.0,0.9208838341616893,-0.004874197645281983,-0.014828544949026856,0.9540091519372896,1.0,False,False,False
Norte,Util,temp_med,obitos_i60_i64,P95_vs_P50,27421.0,0.19733357546432362,-0.06277022985559258,-0.09491583354695377,0.4059433552408943,1.0,False,False,False
Norte,Util,ur_med,internacoes_i60_i69,P05_vs_P50,33063.5,0.6582028985736945,-0.02216603081654985,0.0020997841067043055,0.8241844990835827,1.0,False,False,False
Norte,Util,ur_med,internacoes_i60_i69,P95_vs_P50,33057.5,0.6553547819633185,-0.022343477360778397,-0.049182267175346794,0.8351423770152023,1.0,False,False,False
Norte,Util,ur_med,internacoes_i60_i64,P05_vs_P50,33060.5,0.6563602816942751,-0.022254754088664123,0.0106911542897703,0.8290866716138212,1.0,False,False,False
Norte,Util,ur_med,internacoes_i60_i64,P95_vs_P50,32577.0,0.463939998570567,-0.036553988111081535,-0.03204388844527273,0.7107165935549111,1.0,False,False,False
Norte,Util,ur_med,obitos_i60_i69,P05_vs_P50,32164.0,0.3203346453700049,-0.048768225238813474,-0.09329252062816074,0.5766023616660088,1.0,False,False,False
Norte,Util,ur_med,obitos_i60_i69,P95_vs_P50,32912.5,0.5867081999336767,-0.02663176884630172,-0.05910448644012667,0.775100741196784,1.0,False,False,False
Norte,Util,ur_med,obitos_i60_i64,P05_vs_P50,30942.5,0.07014271597902,-0.08489338420134268,-0.12084109661964337,0.23489653723206697,1.0,False,False,False
Norte,Util,ur_med,obitos_i60_i64,P95_vs_P50,34037.5,0.8885224010732015,0.006639458196551622,0.03727856150001474,0.9271538098155145,1.0,False,False,False
Serrana,Util,temp_med,internacoes_i60_i69,P05_vs_P50,30044.5,0.13458357609594718,0.07889397611993895,-0.4094263398868838,0.31258120899703856,1.0,False,False,False
Serrana,Util,temp_med,internacoes_i60_i69,P95_vs_P50,28763.0,0.4798320311216937,0.037289480327455014,-1.200097370983447,0.7123279637270504,1.0,False,False,False
Serrana,Util,temp_med,internacoes_i60_i64,P05_vs_P50,28467.0,0.671773535028173,0.022246162133046053,0.08921806266271659,0.8267981969577514,1.0,False,False,False
Serrana,Util,temp_med,internacoes_i60_i64,P95_vs_P50,29990.5,0.12079918367002207,0.08155721446860688,0.2690143892675536,0.2999152146290203,1.0,False,False,False
Serrana,Util,temp_med,obitos_i60_i69,P05_vs_P50,31513.0,0.011212380845561854,0.1316276146871353,0.37567106562528063,0.07019925398960465,1.0,False,True,False
Serrana,Util,temp_med,obitos_i60_i69,P95_vs_P50,24808.5,0.0414012957336479,-0.105322947095099,-0.25246132208157523,0.19231569631113862,1.0,False,False,False
Serrana,Util,temp_med,obitos_i60_i64,P05_vs_P50,31600.5,0.007877228113618288,0.13476972798276327,0.22109704641350203,0.0708950530225646,1.0,False,True,False
Serrana,Util,temp_med,obitos_i60_i64,P95_vs_P50,25511.5,0.10862858241697976,-0.0799704280716939,-0.16693714162068596,0.2951418088310393,1.0,False,False,False
Serrana,Util,ur_med,internacoes_i60_i69,P05_vs_P50,41437.0,0.1189263887909378,0.07648143818356584,0.8233445041955685,0.31137090883445534,1.0,False,False,False
Serrana,Util,ur_med,internacoes_i60_i69,P95_vs_P50,35143.5,0.07578298077855489,-0.08701582105837424,1.0712077520588164,0.24801702800254324,1.0,False,False,False
Serrana,Util,ur_med,internacoes_i60_i64,P05_vs_P50,41079.5,0.1685938889807227,0.06719403527914167,0.14584469903618835,0.3623510449734936,1.0,False,False,False
Serrana,Util,ur_med,internacoes_i60_i64,P95_vs_P50,32834.0,0.0025491048349008997,-0.1470137427584236,-0.5678305146390255,0.040785677358414395,0.36707109622572953,True,True,False
Serrana,Util,ur_med,obitos_i60_i69,P05_vs_P50,36730.0,0.3419857440321159,-0.04580053516223729,-0.13453095367988976,0.6005603309832279,1.0,False,False,False
Serrana,Util,ur_med,obitos_i60_i69,P95_vs_P50,37930.5,0.7615766129960924,-0.014613046527940146,-0.06615488530382141,0.8916018883856691,1.0,False,False,False
Serrana,Util,ur_med,obitos_i60_i64,P05_vs_P50,35936.5,0.15760046655068705,-0.06641467279765152,-0.08624944795157563,0.3546010497390458,1.0,False,False,False
Serrana,Util,ur_med,obitos_i60_i64,P95_vs_P50,38376.5,0.9488987189662266,-0.0030265243031200478,0.012041150339022755,0.9690880534123165,1.0,False,False,False
