estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,,1.0,1.0,1.484274346343312,1.4408405664687072,2819595.0,0.1297498009219563,0.04343377987460473,,,,40-59,,,,0.37524762568795994,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,,2189,,,1.0,,1.4408405664687072,2792301.5,0.04303674302947303,0.19748960430928153,2635.0,1.0,1.6383301707779887,40-59,,,,0.1988594333085995,1.0,False,False,False
faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,,1.0,1.0,2.8707843880257675,2.9451804476930104,2817853.0,0.13431645320183652,-0.07439605966724283,,,,60-79,,,,0.3775889103995684,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,,2189,,,1.0,,2.9451804476930104,2828826.0,0.24111402368030443,0.38612885021970333,2635.0,1.0,3.3313092979127137,60-79,,,,0.47281871960723115,1.0,False,False,False
faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,,0.0,0.0,0.9799166350890489,1.007309273640932,2840046.5,0.26369845415422466,-0.02739263855188301,,,,80+,,,,0.4930547840465038,1.0,False,False,False
faixa_etaria,temp_med,P95_vs_P50,,2189,,,0.0,,1.007309273640932,2803726.0,0.06243722991613736,0.049237215922635524,2635.0,0.0,1.0565464895635674,80+,,,,0.24851253887413086,1.0,False,False,False
faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,,0.0,0.0,0.27303754266211605,0.2920353982300885,3664603.5,0.13928599687954862,-0.018997855567972455,,,,<40,,,,0.37579174997032583,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,,2825,,,0.0,,0.2920353982300885,3589924.5,0.000495248338004097,-0.052641458836149124,2640.0,0.0,0.23939393939393938,<40,,,,0.006033025208413546,0.0995449159388235,True,True,False
faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,,1.0,1.0,1.4755403868031853,1.4506194690265486,3762216.5,0.4934775076209701,0.024920917776636742,,,,40-59,,,,0.700982183970424,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,,2825,,,1.0,,1.4506194690265486,3591389.0,0.011350579356905883,-0.1438012872083667,2640.0,1.0,1.3068181818181819,40-59,,,,0.07242750637263753,1.0,False,True,False
faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,,1.0,1.0,2.8532423208191124,2.895221238938053,3736971.5,0.8301637151717403,-0.04197891811894072,,,,60-79,,,,0.9295983662925894,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,,2825,,,1.0,,2.895221238938053,3511954.0,0.00013217466244559926,-0.24370608742290178,2640.0,1.0,2.6515151515151514,60-79,,,,0.002796537594901626,0.02656710715156545,True,True,True
faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,,0.0,0.0,1.0140310959423589,0.9493805309734513,3736620.5,0.8207307954084258,0.06465056496890753,,,,80+,,,,0.9293909288850342,1.0,False,False,False
faixa_etaria,ur_med,P95_vs_P50,,2825,,,0.0,,0.9493805309734513,3533775.5,0.00015878793824257553,-0.1467290158219362,2640.0,0.0,0.8026515151515151,80+,,,,0.002775337007544146,0.03191637558675768,True,True,True
